Channel Id,Channel Url,Channel Title
UCC72w-ZubZbz7NHF10mxtNg,https://www.youtube.com/c/ISOTrainingInstitute,ISO Training Institute
UCOTgNyfQG4vVP5sCXrJaS4g,https://www.youtube.com/channel/UCOTgNyfQG4vVP5sCXrJaS4g,Epic Economics
UCZ4AMrDcNrfy3X6nsU8-rPg,https://www.youtube.com/c/EconomicsExplained,Economics Explained
UCqTwKvjbTENZDGbz2si47ag,https://www.youtube.com/@Grmdaily,GRM Daily
UCV_CsAy5CNBX_uwDQ7RMe1Q,https://www.youtube.com/@CentralCee,Central Cee
UC9RM-iSvTu1uPJb8X5yp3EQ,https://www.youtube.com/@Wendoverproductions,Wendover Productions
UCIcoDIrQQxBbZqnPzO1zDFQ,http://www.youtube.com/channel/UCIcoDIrQQxBbZqnPzO1zDFQ,Make Money with Stacy La
UClvow1RFSyeh5CRwRB_m5sA,https://www.youtube.com/@brfootball,B/R Footbal
UC2-i3KuYoODXsM99Z3-Gm0A,https://www.youtube.com/@friendlyjordies,friendlyjordies
UCtUbO6rBht0daVIOGML3c8w,https://www.youtube.com/@SummoningSalt,Summoning Salt
