,Playlist Video Creation Timestamp
0,2022-04-10T07:48:09+00:00
1,2022-03-09T08:15:05+00:00
2,2021-12-12T09:18:19+00:00
3,2021-12-12T01:12:31+00:00
4,2021-12-07T15:57:44+00:00
5,2021-11-27T20:49:00+00:00
6,2021-11-24T21:31:31+00:00
7,2021-11-23T06:56:12+00:00
8,2021-07-14T03:43:16+00:00
9,2021-07-14T03:42:49+00:00
10,2021-06-12T01:50:11+00:00
11,2021-06-06T04:34:33+00:00
12,2021-05-10T19:22:54+00:00
13,2021-05-09T21:12:48+00:00
14,2021-05-08T20:48:07+00:00
15,2021-03-21T23:32:03+00:00
16,2021-03-13T19:29:25+00:00
17,2020-09-17T03:13:27+00:00
18,2020-02-20T17:37:18+00:00
19,2020-02-20T17:36:42+00:00
20,2020-02-07T15:48:35+00:00
21,2020-02-02T02:40:21+00:00
22,2019-12-26T03:05:48+00:00
23,2019-12-19T04:43:15+00:00
24,2019-11-19T05:15:53+00:00
25,2019-10-29T07:30:48+00:00
26,2019-10-27T15:09:21+00:00
27,2019-10-25T03:35:24+00:00
28,2019-10-03T06:42:18+00:00
29,2019-09-26T05:51:36+00:00
30,2019-09-25T07:17:41+00:00
31,2019-08-07T03:36:54+00:00
32,2019-08-05T04:43:23+00:00
33,2019-07-18T21:07:31+00:00
34,2019-07-18T21:07:24+00:00
35,2019-07-18T21:03:40+00:00
36,2019-07-18T10:05:01+00:00
37,2019-07-18T02:49:15+00:00
38,2019-07-16T22:02:51+00:00
39,2019-07-16T21:53:20+00:00
40,2019-07-10T21:38:01+00:00
41,2019-07-10T21:37:26+00:00
42,2019-06-28T00:55:55+00:00
43,2019-06-26T07:15:57+00:00
44,2019-06-24T01:44:41+00:00
45,2019-06-14T09:50:52+00:00
46,2019-06-13T06:36:49+00:00
47,2019-05-13T04:10:42+00:00
48,2019-04-20T18:22:57+00:00
49,2019-04-14T08:00:31+00:00
50,2019-04-14T07:59:25+00:00
51,2019-04-14T01:50:48+00:00
52,2019-04-08T04:11:24+00:00
53,2019-04-07T07:49:56+00:00
54,2019-04-05T02:23:11+00:00
55,2019-04-04T05:18:43+00:00
56,2019-03-30T04:31:09+00:00
57,2019-03-27T02:41:17+00:00
58,2019-03-24T05:43:29+00:00
59,2019-03-19T03:23:25+00:00
60,2019-03-18T03:38:33+00:00
61,2019-03-11T06:37:26+00:00
62,2019-03-07T06:01:36+00:00
63,2019-02-27T05:10:15+00:00
64,2019-02-27T05:08:58+00:00
65,2019-02-26T04:09:35+00:00
66,2019-02-21T00:07:33+00:00
67,2019-02-20T19:07:09+00:00
68,2019-02-19T04:14:54+00:00
69,2019-02-19T00:43:40+00:00
70,2019-02-19T00:11:35+00:00
71,2019-02-18T04:43:44+00:00
72,2019-02-18T03:57:55+00:00
73,2019-02-07T18:51:35+00:00
74,2019-02-07T13:16:32+00:00
75,2019-02-07T03:58:16+00:00
76,2019-01-31T02:26:11+00:00
77,2019-01-29T13:20:55+00:00
78,2019-01-28T05:25:24+00:00
79,2019-01-27T04:46:41+00:00
80,2019-01-27T04:26:49+00:00
81,2019-01-16T03:29:42+00:00
82,2019-01-13T09:17:54+00:00
83,2019-01-11T02:10:49+00:00
84,2019-01-07T06:14:39+00:00
85,2019-01-02T09:39:14+00:00
86,2019-01-02T09:22:55+00:00
87,2018-12-23T08:14:40+00:00
88,2018-12-22T06:10:51+00:00
89,2018-12-11T06:33:12+00:00
90,2018-12-10T18:58:24+00:00
91,2018-11-22T00:21:26+00:00
92,2018-11-05T22:16:11+00:00
93,2018-11-05T14:08:13+00:00
94,2018-11-05T12:41:43+00:00
95,2018-11-05T06:00:59+00:00
96,2018-11-03T06:45:45+00:00
97,2018-11-01T04:49:47+00:00
98,2018-11-01T01:47:29+00:00
99,2018-10-30T21:45:01+00:00
100,2018-10-30T00:02:31+00:00
101,2018-10-24T04:47:55+00:00
102,2018-10-23T06:59:23+00:00
103,2018-10-21T18:11:12+00:00
104,2018-10-21T02:39:25+00:00
105,2018-10-20T19:03:40+00:00
106,2018-10-19T05:05:44+00:00
107,2018-10-19T05:05:16+00:00
108,2018-10-18T23:59:27+00:00
109,2018-10-08T00:32:16+00:00
110,2018-10-06T20:01:24+00:00
111,2018-09-22T17:41:16+00:00
112,2018-08-28T03:46:02+00:00
113,2018-07-15T21:06:46+00:00
114,2018-07-09T05:55:09+00:00
115,2018-07-09T05:05:56+00:00
116,2018-07-08T19:01:04+00:00
117,2018-05-28T05:24:54+00:00
118,2018-05-19T16:24:57+00:00
119,2018-05-02T05:50:18+00:00
120,2018-03-26T19:34:34+00:00
